Channel_Name,Channel_id,Channel_description,Channel_published_at,Playlist_id,Subscription_Count,Channel_views
LOVEBUSTER,UCASGyre6VNuPsF5f9f9nm8g,"Movie-like love is not a fantasy. It’s real. And you deserve it. 

LOVEBUSTER brings you romantic stories and heartfelt moments. They may seem too good to be true. But anything we dare to dream of can happen. The question is, do you allow yourself to think of something unbelievable and act upon it?

We hope to inspire you. To motivate you to believe in true love. And to never lose your spark.

Because love is the greatest gift any person can wish for. 

Join the LOVEBUSTER community to enjoy new romantic stories, endearing content, and people who love love as much as you.
",2022-10-20 12:41:45.733808,UUASGyre6VNuPsF5f9f9nm8g,1150000,313443125
Words of Wisdom,UC14aFPpH4jF3FfRQZojCfeg,"Hi I am Shalender. This channel is made with intent to spread message of inner happiness to people all over the world. In this channel you will see Gautam buddha stories, Buddha teachings, Buddha quotes, motivational stories, inspirational stories, Buddhist stories. I believe that every human has right to live on earth blissfully. With This intention i have tried to provide life changing inspirational stories which will enhance happiness and bliss in the life of viewers. If i could change life of anyone and could bring positive change in someone's life, i would think that i have succeeded in my effort. Please keep providing your support. Thanks
#Words_of_wisdom_channel
",2020-04-14 06:19:22.597265,UU14aFPpH4jF3FfRQZojCfeg,1040000,99295535
Finest Art Luxury,UCaXLqAY222QioBkYyYVxxTw," I'd love to share with u,  all that I enjoy doing with art . 
The  artist in me has inspired to educate the beginners in the best manner possible.
My videos will help  you to learn and enjoy art step by step in an easy way.
SUBSCRIBE this channel to support and encourage talent. 
I’m coming up with  more videos Stay connected with us.
Please do Like and share
explore on variety of art here such as..
Drawing , painting , crafts , DIY , flower making, and more

#The art of Painting, #DIY's, #drawing, #coloring, #crafts and lot more creativity.",2013-09-28 10:07:00.000000,UUaXLqAY222QioBkYyYVxxTw,287,14547
DramatizeMe Special ,UCp3HX2PhW0FmEUX5ueS1HqA,"This is your safe space. 

So, when you need a place to be alone for a while, jump in and enjoy 

True life-inspired stories.
Crime thrillers.
Delightful educational videos.
Episodes that tackle societal troubles and more.

You deserve to feel that you belong. And the DramartizeMe Special channel hopes to build a community of people who others might perceive as “odd”. But we know one thing – those who are different hold the most power within.

Join our page to enjoy fresh episodes, reflective content, and get to know the people behind this project. 
",2023-07-20 09:44:39.864474,UUp3HX2PhW0FmEUX5ueS1HqA,144000,27077172
Adibasi Family Vlogs,UCeng9rxwI8UwRyBouL2RImw,"Welcome to the heartwarming world of the 'Adibasi Family Vlogs'!

Our channel is a digital diary of the incredible journey of an indigenous family, sharing their daily life, traditions, and cultural experiences. 

Join us as we embark on adventures that showcase the rich tapestry of Adibasi culture, from farming in harmony with nature to celebrating festivals with joy and gusto. Expect enchanting landscapes, mouthwatering traditional recipes, and stories that bridge generations.

We believe in preserving and celebrating the uniqueness of Adibasi heritage while embracing the modern world. Here, you'll find a delightful blend of tradition and innovation, all captured with love and authenticity.

Subscribe now and be part of our extended family, as we explore the beauty and wisdom of the Adibasi way of life

#AdibasiFamily #CulturalHeritage #Vlogs #LifeJourney""",2023-10-21 16:26:11.421192,UUeng9rxwI8UwRyBouL2RImw,74700,6837160
Illumeably,UCwKOXA_I80OH095LdLBDXsA,"Illumeably has one goal: to spread positivity around the world. By sharing our videos, you are joining us on a mission to make the world a better place.

Follow us on social media for updates.

Facebook: https://www.facebook.com/illumeably
Instagram: https://www.instagram.com/illumeably
Twitter: https://www.twitter.com/illumeably
",2017-05-31 19:29:17.000000,UUwKOXA_I80OH095LdLBDXsA,380000,148875665
Weekly Wrap Up,UCTLTttKxRHZvmY-396ewwaA,"""Featuring Jenita""

Welcome to my Weekly Wrap Up! As a grade 8 student, I will be sharing the highlights of the week with you. I would love to explore the intersection of education and the world beyond the classroom. I believe that learning doesn't stop when you leave the school and that there are valuable lessons to be learned from everyday experiences. 

Our content covers a wide range of topics from the latest trends and news to curricular and extra curricular learning experience which boost our  personal development. Weather you're a student, a graduate, or just someone looking to expand your knowledge, we got you covered.

So join us on our journey as we bridge the gap between the classroom and the real world. 


Content credits to Khaleej Times, chatgpt and my family. 

",2023-03-28 10:49:53.529738,UUTLTttKxRHZvmY-396ewwaA,39,677
Re Productions,UC887NJ1_gm2nuAy7lS8SvmA,,2016-01-20 13:03:49.000000,UU887NJ1_gm2nuAy7lS8SvmA,2680,45145
MK Fun Tv,UCl6_axGwQ0p8x5H4yP67M9A,"Hello friends
Well come MK FUNN TV  Youtube channel. 
This is a International Funny Channel and We are always trying to provide the best quality Funny Videos,Prank Videos.
funny,funny video,funny comedy,funny 2022,2022 funny video,comedy,comedy video 2022,viral funny video,challenging funny video,village funny video,tui tui funny video
",2022-04-27 05:05:42.611633,UUl6_axGwQ0p8x5H4yP67M9A,1030000,368266267
ROBIN TECH OFFICIAL,UCQo0RqaoE-112MXYhLulKFg,"Hi , It's Robin Tech officialOn Our Channel You Will Get Video edit, Watch Our All app Tutorial & Enjoy . If You Enjoy Our All tech Please Like Comment Share & Don't Forget To SUBSCRIBE Our Channel .
#robintechofficial##",2022-06-04 15:33:04.125603,UUQo0RqaoE-112MXYhLulKFg,40100,4122589
